RazaoSocial;UF;TotalDespesa;MediaTrimestral;DesvioPadrao
UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;1122899361.19;5424634.6;13632919.63
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SP;1114895744.26;8137925.14;16596786.42
IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ;PR;1102566147.69;6805963.87;16521559.09
UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;SP;1101195119.04;3316852.77;10189680.43
UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO;MT;1099374859.69;3764982.4;10763381.96
SELECT OPERADORA DE PLANO DE SAUDE LTDA;GO;1060206657.48;10929965.54;23698408.05
UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO;BA;1046069341.74;4820596.04;11685499.61
ASSOCIAÇÃO SÃO FRANCISCO VIDA;SP;1044688321.43;8705736.01;20856001.31
UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS;MG;1042750822.84;4965480.11;13964554.27
FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;PE;1041264814.76;8899699.27;21740101.4
UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.;RJ;1032787441.36;6885249.61;15428498.57
UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;1025623826.24;3770675.83;10684238.01
UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;1025560899.92;4537880.09;12139475.13
UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO;RJ;1002816022.0;5362652.52;12923736.43
LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;DF;996201360.6;5355921.29;13618353.64
UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO;PR;992781139.27;5577422.13;12276049.98
UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO;RJ;991345678.63;5697388.96;11888729.41
UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO;SP;978628891.15;4448313.14;11684709.37
UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;942620535.71;4809288.45;11424596.79
UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO;PR;942521161.27;4934665.77;10866722.46
ASSOCIAÇÃO PADRE ALBINO SAÚDE;SP;937266286.53;10078132.11;19918369.17
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO;SP;933548711.3;5459349.19;14402966.48
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;RJ;923118491.01;7155957.29;17562526.32
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC;SC;910913393.64;6900859.04;15861504.05
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;SP;907137349.04;9163003.53;13567480.31
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;BA;879410005.69;10108160.98;20800432.05
UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA;GO;877344167.02;5042207.86;10857365.9
UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO;PR;874630116.21;2877072.75;8573355.83
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;SC;867470039.37;5354753.33;12896621.72
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;RJ;865800564.69;13320008.69;22958169.91
UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO;MG;865504359.45;5620158.18;12863440.13
UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO;PR;861714210.01;4952380.52;11339821.74
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;RS;857585253.06;6546452.31;14723592.77
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;ES;850224473.64;10900313.76;20609614.2
UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO;SP;839569992.65;3781846.81;10205937.2
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA;SP;837906447.87;4928861.46;10927139.18
UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;825794225.13;3970164.54;9781855.01
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;MG;818187198.93;6293747.68;15279074.78
UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;808906896.99;3288239.42;8755859.03
UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO;MG;808591436.41;3327536.78;8909170.07
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO;GO;807202585.13;9965464.01;20045695.63
UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO;RJ;801954927.85;3800734.26;9178481.9
UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;799289460.06;3372529.37;7884307.46
UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO;PA;791616576.54;14136010.3;19609047.56
UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO;MG;790889362.78;6276899.7;11037113.67
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS;CE;790157914.03;13623412.31;24151413.07
UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO;SP;784959036.58;2660878.09;7354530.49
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SP;770199275.79;10697212.16;19173024.67
SAMI ASSISTÊNCIA MÉDICA LTDA;SP;769034958.55;9047470.1;17284034.34
GOCARE PLANOS DE SAUDE LTDA;SP;762123102.5;5184510.9;10065076.93
UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;761764145.67;3160847.08;8367918.2
UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;756045082.46;2690551.89;7924423.42
UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO;MG;748373591.58;3686569.42;11432256.95
UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;746152184.51;4011570.88;9573646.24
NOVA SAÚDE OPERADORA INTEGRADA DE SAÚDE LTDA;RJ;745740578.28;13810010.71;20104046.18
UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;741670434.16;3653548.94;8646195.37
TEMPO MED PLANO DE SAUDE LTDA;SC;740592364.54;4904585.2;9564697.09
UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO .;PR;734831721.84;3087528.24;7831575.29
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES;ES;734075380.35;7126945.44;12566095.37
GARANTIA DE SAÚDE LTDA;SP;731065490.55;8307562.39;16962195.02
UNIMED SAÚDE E ODONTO S.A;SP;727747965.33;9330102.12;17815383.23
UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO ;MG;721980454.09;3454451.93;8949397.05
